Column1.model,Column1.key,Column1.analysis.sentiment.level,Column1.analysis.sarcasm.level,Column1.analysis.comfort.level,Column1.analysis.value.level,Column1.analysis.facilities.level,Column1.analysis.location.level,Column1.analysis.staff.level,Column1.analysis.cleanliness.level,Column1.analysis.food.level
deepseek-r1_1.5b,4,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,11,中立,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,33,中立,未提及,一般,一般,一般,一般,一般,一般,一般
deepseek-r1_1.5b,46,非常正面,有反諷,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,60,非常正面,有反諷,一般,一般,一般,一般,一般,一般,一般
deepseek-r1_1.5b,63,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,82,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,92,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,101,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,105,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,110,中立,未提及,差,差,差,差,未提及,差,差
deepseek-r1_1.5b,116,中立,未提及,一般,一般,一般,一般,一般,一般,一般
deepseek-r1_1.5b,122,中立,未提及,一般,一般,一般,一般,一般,一般,一般
deepseek-r1_1.5b,157,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,163,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,170,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,184,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,195,非常正面,未提及,非常好,非常好,一般,一般,非常好,一般,非常好
deepseek-r1_1.5b,202,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,217,非常正面,有反諷,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,288,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
deepseek-r1_1.5b,294,非常正面,未提及,非常好,非常好,非常好,非常好,非常好,非常好,非常好
